N,Title,Keywords,Abstract,Doi
4873,Convergent and discriminative validity of the Frail-VIG index with the EQ-5D-3L in people cared for in primary health care,Aged; Cross-Sectional Studies; Frail Elderly; Humans; Primary Health Care; Psychometrics; Quality of Life; Reproducibility of Results; Spain; Surveys and Questionnaires; Frailty; Health status; Primary health care; Psychometrics; Validation studies as topic,"BACKGROUND: The Frail-VIG frailty index has been developed recently. It is an instrument with a multidimensional approach and a pragmatic purpose that allows rapid and efficient assessment of the degree of frailty in the context of clinical practice. Our aim was to investigate the convergent and discriminative validity of the Frail-VIG frailty index with regard to EQ-5D-3L value. METHODS: We carried out a cross-sectional study in two Primary Health Care (PHC) centres of the Catalan Institute of Health (Institut Català de la Salut), Barcelona (Spain) from February 2017 to January 2019. Participants in the study were all people included under a home care programme during the study period. No exclusion criteria were applied. We used the EQ-5D-3L to measure Health-Related Quality of Life (HRQoL) and the Frail-VIG index to measure frailty. Trained PHC nurses administered both instruments during face-to-face assessments in a participant's home during usual care. The relationships between both instruments were examined using Pearson's correlation coefficient and multiple linear regression analyses RESULTS: Four hundred and twelve participants were included in this study Frail-VIG score and EQ-5D-3L value were negatively correlated (r = - 0.510; P < 0.001). Non-frail people reported a substantially better HRQoL than people with moderate and severe frailty. EQ-5D-3L value declined significantly as the Frail-VIG index score increased. CONCLUSIONS: Frail-VIG index demonstrated a convergent validity with the EQ-5D-3L value. Its discriminative validity was optimal, as their scores showed an excellent capacity to differentiate between people with better and worse HRQoL. These findings provide additional pieces of evidence for construct validity of the Frail-VIG index",10.1186/s12877-021-02186-x
903,Impact of socio-demographic characteristics and long-term complications on quality of life in patients with diabetes mellitus,Cross-Sectional Studies; Demography; Diabetes Complications/epidemiology; Diabetes Mellitus/epidemiology; Female; Health Status; Health Surveys; Humans; Male; Middle Aged; Quality of Life; Risk Factors; Serbia/epidemiology; Socioeconomic Factors; EuroQol-5D; EuroQol-VAS; SF-36; complications; diabetes mellitus; health-related quality of life,"OBJECTIVE: Diabetes mellitus (DM) has been one of the leading chronic diseases worldwide over past decades. The objective of the study was to identify predictors associated with health-related quality of life (HRQOL) in diabetic patients. METHODS: A cross-sectional questionnaire-based study was conducted at the General Hospital of the city of Leskovac, between June and November 2015. The Short Form-36 (SF-36) questionnaire, EuroQol-5D (EQ-5D) and EuroQol-VAS (EQ-VAS) questionnaires were used. Univariate and multivariate linear regression analyses were performed. RESULTS: The total number of patients was 285, 112 men (39.3%) and 173 women (60.7%), average age 63.92 ± 1.07 years. The results of multiple linear regression of socio-demographic characteristics in relation to dimensions of the quality of life measured by SF-36 and EQ-VAS showed that age, country (rural) life, low level of education, retirement, and poor economic status are predictors of lower quality of life. Our results showed that employment has a significant association with higher Physical Component Score (PCS), Mental Component Score (MCS) and EQ-VAS score, which can be explained with higher incomes, improved economic status and less possibility for the occurrence of depressive mood. Patients without formal education have lower QOL. Univariate multiple regression analysis of the presence of micro- and macrovascular complications of DM showed that angina pectoris, heart failure, diabetic retinopathy, and diabetic nephropathy are the most important factors affecting the quality of life in our population. After including the multivariate model, all tested complications remained statistically significant. CONCLUSION: Our results showed that both socioeconomic and chronic complications are relevant factors of HRQOL in type 1 and 2 diabetes mellitus patients. Age, rural lifestyle, retirement, lower level of education and low socioeconomic status, as well as DM complications (angina pectoris, hearth failure, diabetes nephropathy, and diabetes retinopathy) were found to be independent risk factors for the component scores of SF-36 and EQ-VAS score. Taking into consideration the results obtained, health practitioners should be aware not only of the clinical parameters of patients with DM, but also of their educational level and working status",10.21101/cejph.a5022
8160,Stigmatisation and body image impairment in dermatological patients: protocol for an observational multicentre study in 16 European countries,"Body Image/psychology; Cross-Sectional Studies; Europe/epidemiology; Humans; Logistic Models; Mood Disorders/epidemiology; Multicenter Studies as Topic; Multivariate Analysis; Observational Studies as Topic; Quality of Life/psychology; Research Design; Self Report; Skin Diseases/psychology; Stereotyping; Stress, Psychological/epidemiology; body image; burden of disease; dermatological epidemiology; stigmatisation","INTRODUCTION: Patients with common skin diseases may have substantial psychosocial comorbidity and reduced quality of life. This study aims at exploring further the psychosocial burden of skin diseases by assessing stigmatisation and body image problems in a large sample of patients with skin disease across Europe. METHODS AND ANALYSIS: The study is an observational cross-sectional multicentre study across 16 European countries comparing stigmatisation and body image in patients with skin disease compared with controls. Consecutive patients will be recruited in outpatient clinics and will complete validated questionnaires prior to clinical examination by a dermatologist at each recruitment site. In addition to sociodemographic background information, the outcomes will be: mood disorders assessed by short versions of the Patient Health Questionnaire and the General Anxiety Disorder Assessment; general health assessed by the EuroQol-Visual Analogue Scale; stigmatisation experience assessed by the Perceived Stigmatisation Questionnaire; stress assessed by the Perceived Stress Scale and body image assessed by the Dysmorphic Concern Questionnaire. The main criteria for eligibility are to be 18 years old or more. The analysis will include comparison between patients and controls for the main outcomes using t-tests, analyses of covariance and multivariate logistic regression models adjusting for potential confounding factors. ETHICS AND DISSEMINATION: The study protocol is approved by the University of Giessen and by the local Ethical Committee in each recruitment centre. Informed consent will be given by each participant. The results of the study will be disseminated by publications in international peer-reviewed journals and presented at international conferences and general public conferences. Results will influence support intervention and management of patients with skin disease across Europe. TRIAL REGISTRATION NUMBER: DRKS00012745; Pre-results",10.1136/bmjopen-2018-024877
15184,More concerns and stronger beliefs about the necessity of medication in patients with acromegaly are associated with negative illness perceptions and impairment in quality of life,Acromegaly/drug therapy/physiopathology/psychology; Aged; Cross-Sectional Studies; Culture; Female; Human Growth Hormone/antagonists & inhibitors; Humans; Male; Middle Aged; Perception; Quality of Life/psychology; Somatostatin/analogs & derivatives/therapeutic use; Surveys and Questionnaires; Acromegaly; Growth hormone; Illness perceptions; Medication beliefs; Quality of life; Somatostatin analogs,"OBJECTIVE: Patients with acromegaly can be treated with surgery, radiotherapy and/or medical treatment. In general, patients' beliefs about medication are associated with illness perceptions, a contributory factor of Quality of Life (QoL). At present, there are no quantitative studies on medication beliefs in patients with acromegaly. Here, we aimed to examine possible associations between medication beliefs, illness perceptions, and QoL. Furthermore we aimed to explore whether illness perceptions of patients with remission of acromegaly receiving medical treatment differ from patients without medical treatment. DESIGN: Cross-sectional evaluation of 73 patients with remission of acromegaly (n = 28 patients with medication, n = 45 without medication). The Beliefs about Medicines Questionnaire (BMQ), Illness Perception Questionnaire-Revised (IPQ-R), EuroQoL-5D, and AcroQoL were used for the assessment. RESULTS: Stronger beliefs about the necessity of medical treatment and stronger concerns about the adverse effects were associated with attributing more symptoms to acromegaly, perceiving more negative consequences, and having a stronger belief in a cyclical timeline (BMQ, all P < 0.05). Stronger beliefs about the necessity of medical treatment were associated with a worse disease-specific QoL (BMQ, P < 0.01). Patients with medical treatment perceived a more chronic timeline of their disease, compared to patients without medical treatment (IPQ-R, P = 0.002). CONCLUSION: Negative medication beliefs were related to more negative illness perceptions and worse disease-specific QoL. Patients receiving medical treatment for acromegaly tend to perceive a more chronic timeline of their disease, compared to patients with remission without medical treatment. These psychological factors need to be taken into account when treating patients and developing a psychosocial education program aiming to improve QoL",10.1016/j.ghir.2015.06.008
405,Does the Introduction of the Ranking Task in Valuation Studies Improve Data Quality and Reduce Inconsistencies? The Case of the EQ-5D-5L,"Adolescent; Adult; Aged; Analysis of Variance; Disability Evaluation; Female; Health Status; Humans; Interviews as Topic; Male; Middle Aged; Quality of Life; Quality-Adjusted Life Years; Sickness Impact Profile; Spain; Surveys and Questionnaires; Young Adult; health related quality of life; ranking, EQ-5D-5L; time trade off; valuation","BACKGROUND: Time trade-off (TTO)-based valuation studies for the three-level version of the EuroQol five-dimensional questionnaire (EQ-5D) typically started off with a ranking task (ordering the health states by preference). This was not included in the protocol for the five-level EQ-5D (EQ-5D-5L) valuation study OBJECTIVES: To test whether reintroducing a ranking task before the composite TTO (C-TTO) could help to reduce inconsistencies in C-TTO responses and improve the data quality. METHODS: Respondents were randomly assigned to three study arms The control arm was the present EQ-5D-5L study protocol, without ranking. The second arm (ranking without sorting) preceded the present protocol by asking respondents to rank the target health states using physical cards. The states were then valued in random order using C-TTO. In the third arm (ranking and sorting), the ranked states remained visible through the C-TTO tasks and the order of valuation was determined by the ranking. The study used only 10 EQ-5D-5L health states. We compared the C-TTO-based inconsistent pairs of health states and ties. RESULTS: The final sample size was 196 in the control arm, 205 in the ranking without sorting arm, and 199 in the ranking and sorting arm. The percentages of ties by respondents were 15.1%, 12.5%, and 12.6% for the control arm, the ranking without sorting arm, and the ranking and sorting arm, respectively. The extra cost for adding the ranking task was about 15% CONCLUSIONS: The benefit does not justify the effort involved in the ranking task. For this reason, the addition of the ranking task to the present EQ-5D-5L valuation protocol is not an attractive option",10.1016/j.jval.2016.02.002
8375,Is quality of life different between diabetic and non-diabetic people? The importance of cardiovascular risks,Cardiovascular Diseases/complications/physiopathology; Case-Control Studies; Diabetes Mellitus/physiopathology; Female; Humans; Male; Middle Aged; Quality of Life; Risk Factors,"BACKGROUND: To analyse and compare the impact of cardiovascular risk factors and disease on health-related quality of life (HRQoL) in people with and without diabetes living in the community. METHODS: We used data of 1,905 people with diabetes and 19,031 people without diabetes from the last Spanish National Health Survey (years 2011-2012). The HRQoL instrument used was the EuroQol 5D-5L, based on time trade-off scores. Matching methods were used to assess any differences in the HRQoL in people with and without diabetes with the same characteristics (age, gender, education level, and healthy lifestyle), according to cardiovascular risk factors and diseases. Disparities were also analysed for every dimension of HRQoL: mobility, daily activities, personal care, pain/discomfort, and anxiety/depression. RESULTS: There were no significant differences in time trade-off scores between people with and without diabetes when cardiovascular risk factors or established cardiovascular disease were not present. However, when cardiovascular risk factors were present, the HRQoL score was significantly lower in people with diabetes than in those without. This difference was indeed greater when cardiovascular diseases were present. More precisely, people with diabetes and any of the cardiovascular risk factors, who have not yet developed any cardiovascular disease, report lower HRQoL, 0.046 TTO score points over 1 (7.93 over 100 in the VAS score) compared to those without diabetes, and 0.14 TTO score points of difference (14.61 over 100 in the VAS score) if cardiovascular diseases were present. In fact, when the three risk factors were present in people with diabetes, HRQoL was significantly lower (0.10 TTO score points over 1 and 10.86 points over 100 in VAS score), obesity being the most influential risk factor. CONCLUSIONS: The presence of established cardiovascular disease and/or cardiovascular risk factors, specially obesity, account for impaired quality of life in people with diabetes",10.1371/journal.pone.0189505
3359,Improved well-being and decreased disease burden after 1-year use of flash glucose monitoring (FLARE-NL4),"Adult; Biomarkers/blood; Blood Glucose/analysis; Blood Glucose Self-Monitoring/methods/statistics & numerical data; Diabetes Mellitus, Type 1/blood/drug therapy/pathology; Diabetes Mellitus, Type 2/blood/drug therapy/pathology; Female; Follow-Up Studies; Glycated Hemoglobin A/analysis; Humans; Hypoglycemia/prevention & control; Hypoglycemic Agents/therapeutic use; Male; Middle Aged; Patient Reported Outcome Measures; Prognosis; Prospective Studies; Quality of Life; continuous glucose monitoring; flash glucose monitoring; freestyle libre; patient reported outcome measures; type 1 diabetes","INTRODUCTION: The FreeStyle Libre is a flash glucose monitoring (FSL-FGM) system Compared with finger-prick based self-monitoring of blood glucose, FSL-FGM may provide benefits in terms of improved glycemic control and decreased disease burden. METHODS: Prospective nationwide registry. Participants with diabetes mellitus (DM) used the FSL-FGM system for a period of 12 months. End points included changes in HbA1c, hypoglycemia, health-related quality of life (12-Item Short Form Health Survey(v2) (SF-12(v2)) and 3-level version of EuroQol 5D (EQ-5D-3L)), a specifically developed patient-reported outcome measures (PROMs) questionnaire, diabetes-related hospital admission rate and work absenteeism Measurements were performed at baseline, and after 6 months and 12 months RESULTS: 1365 persons (55% male) were included. Mean age was 46 (16) years, 77% of participants had type 1 DM, 16% type 2 DM and 7% other forms. HbA1c decreased from 64 (95%CI 63 to 65) mmol/mol to 60 (95%CI 60 to 61) mmol/mol with a difference of -4 (95% CI -6 to 3) mmol/mol. Persons with a baseline HbA1c >70 mmol/mol had the most profound HbA1c decrease: -9 (95% CI -12 to to 5) mmol/mol. EQ-5D tariff (0.03 (95%CI 0.01 to 0.05)), EQ-VAS (4.4 (95%CI 2.1 to 6.7)) and SF-12(v2) mental component score (3.3 (95%CI 2.1 to 4.4)) improved. For most, PROMs improved. Work absenteeism rate (/6 months) and diabetes-related hospital admission rate (/year) decreased significantly, from 18.5% to 7.7% and 13.7% to 2.3%, respectively. CONCLUSIONS: Real world data demonstrate that use of FSL-FGM results in improved well-being and decreased disease burden, as well as improvement of glycemic control",10.1136/bmjdrc-2019-000809
8826,Chronic low back pain and the risk of depression or anxiety symptoms: insights from a longitudinal twin study,"Adult; Depression/epidemiology/etiology/genetics; Female; Humans; Low Back Pain/complications/epidemiology/genetics; Male; Middle Aged; Twins, Dizygotic; Twins, Monozygotic; Anxiety; Chronic low back pain; Depression; Epidemiology; Genetics; Twins","BACKGROUND CONTEXT: Pain is commonly associated with symptoms of depression or anxiety, although this relationship is considered bidirectional. There is limited knowledge regarding causal relationships. PURPOSE: This study aims to investigate whether chronic low back pain (LBP) increases the risk of depression or anxiety symptoms, after adjusting for shared familial factors. STUDY DESIGN: This is a longitudinal, genetically informative study design from the Murcia Twin Registry in Spain. PATIENT SAMPLE: The patient sample included 1,269 adult twins with a mean age of 53 years. OUTCOME MEASURES: The outcome of depression or anxiety symptoms was evaluated with EuroQol questionnaire. METHODS: Using logistic regression analyses, twins were initially assessed as individuals in the total sample analysis, followed by a co-twin case-control, which was partially (dizygotic [DZ] twins) and fully (monozygotic [MZ] twins) adjusted for shared familial factors. There was no external funding for this study and no conflict of interest was declared. RESULTS: There was a significant association between chronic LBP and the risk of depression or anxiety symptoms in the unadjusted total sample analysis (odds ratio [OR]: 1.81, 95% confidence interval [CI]: 1.34-2.44). After adjusting for confounders, the association remained significant (OR: 1.43, 95% CI: 1.05-1.95), although the adjusted co-twin case-control was non-significant in DZ (OR: 1.03, 95% CI: 0.50-2.13) and MZ twins (OR: 1.86, 95% CI: 0.63-5.51). CONCLUSIONS: The relationship between chronic LBP and the future development of depression or anxiety symptoms is not causal. The relationship is likely to be explained by confounding from shared familial factors, given the non-statistically significant associations in the co-twin case-control analyses",10.1016/j.spinee.2017.02.009
14900,"[Falls in the elderly in the community: prevalence, consequences, and associated factors]",Accidental Falls/statistics & numerical data; Activities of Daily Living; Aged; Cross-Sectional Studies; Female; Geriatric Assessment; Health Status Indicators; Humans; Male; Prevalence; Risk Factors; Spain/epidemiology; Surveys and Questionnaires,"OBJECTIVE: To find the prevalence, characteristics, and consequences of falls in the elderly and related factors. DESIGN. Cross-sectional, descriptive study using personal interviews. SETTING: Three health districts in Cordoba city, Spain PARTICIPANTS: A stratified sample of 362 people over 70. MAIN MEASUREMENTS: The assessment tools were the WHO questionnaire for the study of falls and the EuroQol-5D for the measurement of health-related quality of life. Uni-bivariate and multivariate analyses (P< .05) were run. RESULTS: The prevalence of falls was 31.78% (95% CI, 26.99%-36.6%); 12.98% of subjects had more than one fall in the previous year; 55.3% of falls happened at home; 71.8% of the falls had physical consequences, with 7.8% fractures; 44.7% of the elderly studied were scared of having a new fall, and 22% limited their mobility after the fall. In 30% of cases there was contact with the health system, and 3.3% needed hospital admission. The factors related to a greater risk of falls were: being older, being a woman, widowed, uneducated, with difficulties in moving both arms, suffering space disorientation, high drug consumption, and having worse perceived health status CONCLUSIONS: Falls in the elderly living in the community are a frequent problem, with important physical, psychological and social consequences",10.1157/13094802
12651,Patients with dementia with lewy bodies have more impaired quality of life than patients with Alzheimer disease,"Aged; Aged, 80 and over; Alzheimer Disease/physiopathology/psychology; Caregivers; Cross-Sectional Studies; Female; Humans; Lewy Body Disease/physiopathology/psychology; Male; Middle Aged; Quality of Life","The primary aim of this study was to compare quality of life (QoL) in patients with Dementia with Lewy Bodies (DLB) and patients with Alzheimer disease (AD) The secondary aim of this study was to investigate determinants of QoL in DLB Thirty-four patients with DLB at the Neuropsychiatry clinic, University Hospital MAS, Malmö, Sweden, were included in a cross-sectional study. These patients were matched to 34 patients with AD. Two QoL instruments, the EQ-5D instrument and the Quality of Life-Alzheimer disease (QoL-AD) instrument, were applied in this study. Both instruments were administered to both patients and caregivers Patients with DLB in this study have significantly lower QoL than patients with AD regardless of instrument or whether patient or caregiver-reported QoL was used. Furthermore, this study shows that important determinants of QoL in DLB include Neuropsychiatric Inventory score, independency in instrumental activities of daily living, whether the patient is living with the caregiver and the presence of apathy and delusions",10.1097/WAD.0b013e318065c4a9
13313,Nutritional status influences generic and disease-specific quality of life measures in haemodialysis patients,Female; Humans; Male; Middle Aged; Nutritional Status; Prospective Studies; Quality of Life; Renal Dialysis; Surveys and Questionnaires,"BACKGROUND: Poor nutritional status and worse healthrelated quality of life (QoL) have been reported in haemodialysis (HD) patients. The utilization of generic and disease specific QoL questionnaires in the same population may provide a better understanding of the significance of nutrition in QoL dimensions. OBJECTIVE: To assess nutritional status by easy to use parameters and to evaluate the potential relationship with QoL measured by generic and disease specific questionnaires METHODS: Nutritional status was assessed by subjective global assessment adapted to renal patients (SGA), body mass index (BMI), nutritional intake and appetite QoL was assessed by the generic EuroQoL and disease specific Kidney Disease Quality of Life-Short Form (KDQoL-SF) questionnaires. RESULTS: The study comprised 130 patients of both genders, mean age 62.7 ± 14.7 years. The prevalence of undernutrition ranged from 3.1% by BMI ≤ 18.5 kg/m² to 75.4% for patients below energy and protein intake recommendations. With the exception of BMI classification, undernourished patients had worse scores in nearly all QoL dimensions (EuroQoL and KDQoL-SF), a pattern which was dominantly maintained when adjusted for demographics and disease-related variables. Overweight/ obese patients (BMI ≥ 25) also had worse scores in some QoL dimensions, but after adjustment the pattern was maintained only in the symptoms and problems dimension of KDQoL-SF (p = 0.011). CONCLUSION: Our study reveals that even in mildly undernourished HD patients, nutritional status has a significant impact in several QoL dimensions. The questionnaires used provided different, almost complementary perspectives, yet for daily practice EuroQoL is simpler. Assuring a good nutritional status, may positively influence QoL",10.3305/nh.2013.28.3.6454
4224,Dimensions and predictors of disability-A baseline study of patients entering somatic rehabilitation in secondary care,"Adolescent; Adult; Aged; Aged, 80 and over; Cross-Sectional Studies; Depression/complications/diagnosis/rehabilitation; Diagnostic Self Evaluation; Disability Evaluation; Female; Humans; Male; Middle Aged; Multimorbidity; Nervous System Diseases/complications/diagnosis/rehabilitation; Pain/complications/diagnosis/rehabilitation; Physical Fitness; Prognosis; Psychiatric Status Rating Scales; Rehabilitation; Rehabilitation Centers; Secondary Care; Socioeconomic Factors; Young Adult","PURPOSE: The purpose of this study was to investigate disability among patients who were accepted for admission to a Norwegian rehabilitation center and to identify predictors of disability. MATERIALS AND METHODS: In a cross-sectional study including 967 adult participants, the World Health Organization Disability Assessment Schedule version 2.0 36-item version was used for assessing overall and domain-specific disability as outcome variables. Patients completed the Hospital Anxiety and Depression Scale (HADS), EuroQoL EQ-5D-5L and questions about multi-morbidity, smoking and perceived physical fitness. Additionally, the main health condition, sociodemographic and environmental variables obtained from referrals and public registers were used as predictor variables. Descriptive statistics and linear regression analyses were performed. RESULTS: The mean (standard error) overall disability score was 30.0 (0.5), domain scores ranged from 11.9 to 44.7. Neurological diseases, multi-morbidity, low education, impaired physical fitness, pain, and higher HADS depressive score increased the overall disability score. A low HADS depressive score predicted a lower disability score in all domains. CONCLUSIONS: A moderate overall disability score was found among patients accepted for admission to a rehabilitation center but ""life activities"" and ""participation in society"" had the highest domain scores This should be taken into account when rehabilitation strategies are developed",10.1371/journal.pone.0193761
9002,Amaze: a randomized controlled trial of adjunct surgery for atrial fibrillation,"Aged; Aged, 80 and over; Atrial Fibrillation/economics/physiopathology/surgery; Cardiac Surgical Procedures/economics/methods; Cost-Benefit Analysis; Double-Blind Method; Female; Heart Conduction System/physiopathology; Heart Rate/physiology; Humans; Male; Middle Aged; Quality of Life; Quality-Adjusted Life Years; Treatment Outcome","OBJECTIVES: Atrial fibrillation (AF) reduces survival and quality of life (QoL) It can be treated at the time of major cardiac surgery using ablation procedures ranging from simple pulmonary vein isolation to a full maze procedure. The aim of this study is to evaluate the impact of adjunct AF surgery as currently performed on sinus rhythm (SR) restoration, survival, QoL and cost-effectiveness. METHODS: In a multicentre, Phase III, pragmatic, double-blinded, parallel-armed randomized controlled trial, 352 cardiac surgery patients with >3 months of documented AF were randomized to surgery with or without adjunct maze or similar AF ablation between 2009 and 2014. Primary outcomes were SR restoration at 1 year and quality-adjusted life years at 2 years. Secondary outcomes included SR at 2 years, overall and stroke-free survival, medication, QoL, cost-effectiveness and safety. RESULTS: More ablation patients were in SR at 1 year [odds ratio (OR) 2.06, 95% confidence interval (CI) 1.20-3.54; P = 0.009]. At 2 years, the OR increased to 3.24 (95% CI 1.76-5.96). Quality-adjusted life years were similar at 2 years (ablation - control -0.025, P = 0.6319). Significantly fewer ablation patients were anticoagulated from 6 months postoperatively. Stroke rates were 5.7% (ablation) and 9.1% (control) (P = 0.3083). There was no significant difference in stroke-free survival [hazard ratio (HR) = 0.99, 95% CI 0.64-1.53; P = 0.949] nor in serious adverse events, operative or overall survival, cardioversion, pacemaker implantation, New York Heart Association, EQ-5D-3L and SF-36. The mean additional ablation cost per patient was £3533 (95% CI £1321-£5746). Cost-effectiveness was not demonstrated at 2 years. CONCLUSIONS: Adjunct AF surgery is safe and increases SR restoration and costs but not survival or QoL up to 2 years. A continued follow-up will provide information on these outcomes in the longer term. STUDY REGISTRATION: ISRCTN82731440 (project number 07/01/34)",10.1093/ejcts/ezy165
9582,A Mobile Phone-Based Telemonitoring Program for Heart Failure Patients After an Incidence of Acute Decompensation (Medly-AID): Protocol for a Randomized Controlled Trial,heart failure; mobile phone; patient monitoring; randomized controlled trial; telemedicine,"BACKGROUND: Patients with heart failure (HF) are at the highest risk for hospital readmissions during the first few weeks after discharge when patients are transitioning from hospital to home. Telemonitoring (TM) for HF management has been found to reduce mortality risk and hospital readmissions if implemented appropriately; however, the impact of TM targeted for patients recently discharged from hospital, for whom TM might have the biggest benefit, is still unknown. Medly, a mobile phone-based TM system that is currently being used as a standard of care for HF at a large Canadian hospital, may be an effective tool for the management of HF in patients recently discharged from hospital OBJECTIVE: The objective of the Medly-After an Incidence of acute Decompensation (Medly-AID) trial is to determine the effect of Medly on the self-care and quality of life of patients with HF who have been recently discharged from hospital after an HF-related decompensation. METHODS: A multisite multimethod randomized controlled trial (RCT) will be conducted at 2 academic hospitals and at least one community hospital to evaluate the impact of Medly-enabled HF management on the outcomes of patients with HF who had been hospitalized for HF-related decompensation and discharged during the 2 weeks before recruitment The trial will include 144 participants with HF (74 in each control and intervention groups). Control patients will receive standard of care, whereas patients in the intervention group will receive standard of care and Medly Specifically, patients in the intervention group will record daily weight, blood pressure, and heart rate and answer symptom-related questions via the Medly app Medly will generate automated patient self-care messages such as to adjust diuretic medications, based on the rules-based algorithm personalized to the individual patient, and send real-time alerts to their health care providers as necessary. All patients will be followed for 3 months. Primary outcome measures are self-care and quality of life as measured through the validated questionnaires Self-Care of Heart Failure Index, EQ-5D-5L, and the Kansas City Cardiomyopathy Questionnaire-12. Secondary outcome measures for this study include cost of health care services used and health outcomes. RESULTS: Patient recruitment began in November 2018 at the Sunnybrook Health Sciences Centre, with a total of 35 participants recruited by July 30, 2019 (17 in the intervention group and 18 in the control group). The final analysis is expected to occur in the fall of 2020. CONCLUSIONS: This RCT will be the first to assess the effectiveness of the Medly TM system for use following discharge from hospital after a HF-related decompensation. TRIAL REGISTRATION: ClinicalTrials.gov NCT03358303; https://clinicaltrials.gov/ct2/show/NCT03358303. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/15753",10.2196/15753
12043,"Functional outcome and patient satisfaction after displaced intra-articular calcaneal fractures: a comparison among open, percutaneous, and nonoperative treatment","Adult; Calcaneus/injuries; Cohort Studies; Cosmetics; Female; Fractures, Bone/therapy; Humans; Male; Middle Aged; Patient Satisfaction; Retrospective Studies; Surveys and Questionnaires; Treatment Outcome; calcaneus; complication; conservative treatment; joint depression; open reduction internal fixation; trauma","The aim of the present study was to compare the outcomes of patients with a displaced calcaneal fracture treated by open reduction and internal fixation (ORIF), percutaneous treatment, or nonoperative methods. A retrospective cohort study was conducted at a level I trauma center of patients with a displaced intra-articular calcaneal fracture treated from January 1, 2002 to December 31, 2011. The patient-reported outcome measures included the Foot Function Index, American Orthopaedic Foot and Ankle Society hindfoot scale, Short Form-36, the EQ-5D from the EuroQol Group, and a 10-point visual analog scale. Clinical data were collected from 169 patients, and questionnaires were obtained from 78 patients (18 nonoperatively, 27 ORIF, and 33 percutaneously). The late intervention rate was significantly greater in the percutaneous group (n = 18; 30%) than in the ORIF group (n = 6; 12%) or the nonoperative group (n = 8; 13%; p = .030). Significantly more disability was reported in the nonoperative group (median Foot Function Index score, 40 points) than in the ORIF group (median, 16 points; p = .010) or in the percutaneous group (median, 21 points; p = .034). In conclusion, the operatively treated patients (ORIF and percutaneous treatment) reported better functional outcome scores (Foot Function Index and American Orthopaedic Foot and Ankle Society hindfoot scale) than did the nonoperatively treated patients",10.1053/j.jfas.2014.04.014
12463,Effect of occupational polychlorinated biphenyls exposure on quality-adjusted life years over time at the HELPcB surveillance program,Adult; Cross-Sectional Studies; Environmental Exposure/adverse effects/analysis; Female; Health Surveys; Humans; Male; Middle Aged; Occupational Exposure/adverse effects/analysis; Polychlorinated Biphenyls/blood/toxicity; Quality of Life; Quality-Adjusted Life Years; Recycling,"HELPcB (Health Effects in High-Level Exposure to Polychlorinated Biphenyls [PCB]) is a surveillance program for former PCB-exposed workers of a capacitor recycling company and other concerned individuals. The aim of this study was to examine the influence of polychlorinated biphenyls (PCB) on the health-related quality of life (HRQL) and on quality-adjusted life years (QALY). The EQ-5D-3L questionnaire was used to determine the HRQL. After three cross-sectional examinations at intervals of 1 yr, the longitudinal development of QALY was compared by repeated-measurement analysis of covariance (ANCOVA). The cohort was split at the 95th percentile of the comparison group for each PCB congener; known confounders such as age were taken into account. A significant difference in height and development of QALY over time was shown for the higher chlorinated non-dioxin-like PCB (hcPCB) congeners. A significant between-groups effect was found on PCB 153, PCB 180, and the sum of hcPCB. It was found that QALY decreased in the high-burden group and QALY stabilized after yr 2 in the normal-burden group. Taking the dimensions of the EQ-5D into account, the between-groups effect seems to be based predominantly on the dimension anxiety. The development of the within-group effect, however, seems to be based on the dimension mobility. This study detected a significant influence of hcPCB on the development of HRQL and QALYs over time according to the level of internal PCB burden",10.1080/15287394.2014.946165
7945,Work addiction is associated with increased stress and reduced quality of life: Validation of the Bergen Work Addiction Scale in Danish,"Adolescent; Adult; Aged; Behavior, Addictive/complications/diagnosis; Denmark; Employment/psychology/statistics & numerical data; Female; Humans; Male; Middle Aged; Psychiatric Status Rating Scales/standards; Psychometrics/instrumentation/standards; Quality of Life/psychology; Reproducibility of Results; Stress, Psychological/diagnosis/etiology; Work/psychology/statistics & numerical data; Young Adult; Addiction; Bergen Work Addiction Scale; Stress; Validation; quality of life","Addiction to work is defined as a compulsion or an uncontrollable need to work incessantly. Only few measures exist to identify work addiction and the health consequences are sparsely explored. The Bergen Workaholic Scale (BWAS) measures seven core elements of work addiction and has been used in Norway, Hungary, Brazil, Italy, USA and Poland. The aim of this study was to validate the BWAS in a Danish sample and to investigate if high risk of work addiction was associated with stress and reduced quality of life. We conducted an online screening survey with 671 participants aged 16-68 years with the Danish translation of the BWAS We added the perceived stress scale (PSS) and the quality of life scale EQ-5D-5L Those with high risk of work addiction reported significantly higher mean PSS scores (20.0 points) compared to those with low risk of addiction (12.5 points) and poorer quality of life (61.9) compared to the low risk group (81.3) Furthermore, work addiction was associated with more weekly working hours (44.0 vs. 35.6 hours/week) and having more leadership responsibility. A preliminary estimate of work addiction prevalence was 6.6%. The BWAS demonstrated good reliability (α = 0.83), and factor analyses pointed at a single factor structure Work addiction seems to be associated with health problems in terms of stress and poorer quality of life. The BWAS is recommended as a reliable and valid tool to identify work addiction in Danish",10.1111/sjop.12506
