N,Title,Keywords,Abstract,Doi,Label
850,Estimating Informal Caregiving Time from Patient EQ-5D Data: The Informal CARE Effect (iCARE) Tool,"Caregivers/economics; Cost of Illness; Health Care Costs; Humans; Models, Econometric; Netherlands; Patient Care/economics; Quality of Life; Reimbursement Mechanisms; Surveys and Questionnaires","BACKGROUND: Families and friends provide a considerable proportion of care for patients and elderly people. Caregiving can have substantial effects on caregivers' lives, health, and well-being. However, because clinical trials rarely assess these effects, no information on caregiver burden is available when evaluating the cost effectiveness of treatments. OBJECTIVE: This study develops an algorithm for estimating caregiver time using information that is typically available in clinical trials: the EQ-5D scores of patients and their gender METHODS: Four datasets with a total of 8012 observations of dyads of caregivers and a gamma model with a log-link estimated with the Bayesian approach were used to estimate the statistical association between patient scores on the EQ-5D-3L dimensions and the numbers of hours of care provided by caregivers during the previous week. The model predicts hours of care as mean point estimates with 95% credible intervals or entire distributions. RESULTS: Model predictions of hours of care based on the five EQ-5D dimensions ranged from 13.06 (12.7-14.5) h/week for female patients reporting no health problems but receiving informal care to 52.82 (39.38-66.26) for male patients with the highest level of problems on all EQ-5D dimensions. CONCLUSIONS: The iCARE algorithm developed in this study allows researchers who only have patient-level EQ-5D data to estimate the mean hours of informal care received per week, including a 95% Bayesian credible interval Caregiver time can be multiplied with a monetary value for caregiving, enabling the inclusion of informal care costs in economic evaluations. We recommend using the tool for samples that fall within the confidence intervals of the characteristics of our samples: men (age range 47.0-104.2 years), women (age range 55-103 years)",10.1007/s40273-018-0706-6,1
1402,EQ-VT protocol: one-size-fits-all? Challenges and innovative adaptations used in Egypt: a cross-sectional study,Cross-Sectional Studies; Egypt; Health Status; Humans; Quality of Life; Surveys and Questionnaires; Technology; health economics; health policy; qualitative research,"OBJECTIVES: To present the challenges and adaptations done to the EuroQol Valuation Technology (EQ-VT) protocol to fit the Egyptian culture during the extensive pilot phase of the Egyptian EuroQol 5 Dimension five level (EQ-5D-5L) valuation study DESIGN: This study was a cross-sectional, interviewer-administered face-to-face survey of representative Egyptians using the Arabic version of the EuroQol Group Valuation Technology (EQ-VT-2.1) and a country specific questionnaire pertaining to participants' demographics and opinions about health, life and death SETTING: Participants were recruited from workplaces, university campuses, sporting clubs, shopping malls and other public areas from different Egyptian governorates representing all geographical areas of the country. PARTICIPANTS: A total of 1378 participants were interviewed from July 2019 to March 2020 by 12 interviewers to select a representative sample in terms of: geographical distribution, age and gender, of which 75 participants did not complete the interview, 298 interviews were pilot and 1005 interviews were real of which 974 interviews were used for the valuation study. Two participants did not complete the country-specific questionnaire but completed the valuation protocol; therefore, 1301 interviews were included in the final analysis of country specific questions. RESULTS: Some modifications were applied to the protocol. The 'wheelchair example' was modified to 'migraine example' since most of the participants in the pilot interviews considered being in a wheelchair 'worse than dead'. There was some ambiguity in the Egyptian translated version for the EQ-5D-5L between levels 4 and 5 of the pain and depression dimensions This was overcome by using colour coding to express the different levels of severity. A pictorial representation for the EQ-5D-5L health states was used to interview illiterate and less educated participants. CONCLUSION: In the Egyptian valuation study, the modifications made to the EQ-VT protocol made it feasible and culturally acceptable to the Egyptian participants",10.1136/bmjopen-2021-051727,0
1494,Health related quality of life and mortality 10 years after a femoral neck fracture in patients younger than 70 years,"Arthroplasty, Replacement, Hip; Femoral Neck Fractures/surgery; Humans; Prospective Studies; Quality of Life; Sweden/epidemiology; Treatment Outcome; Femoral neck fractures; Health related quality of life; Hip disability outcome score; Hip fractures in younger patients; Younger than 70 years of age","BACKGROUND AND PURPOSE: A femoral neck fracture (FNF) may have long term effects on the patient's health related quality of life (HRQoL) and mortality, especially in patients younger than 70 years. These long-term effects are unknown since most studies have a short follow-up. The aim of this study was to investigate self-assessed hip function, HRQoL and factors associated with 10-years mortality after a FNF. PATIENTS AND METHODS: A prospective multicenter study with a 10-year follow-up of patients aged 20-69 years with a displaced and non-displaced FNF treated with closed reduction and internal fixation. The self-administered questionnaires EuroQol 5 Dimension (EQ-5D) and Hip Disability Outcome Score (HOOS) were used. Results of EQ-5D and HOOS was compared to sex and age matched general population data of Sweden. All patients that were deceased had their death date recorded. Factors associated with mortality were assessed by regression analysis of the baseline data including age, gender, harmful alcohol consumption according to AUDIT, co-morbidity measured by ASA-grade, body mass index, osteoporosis measured by dual energy x-ray absorptiometry (DXA) and smoking. Prevalence of co-morbidities and smoking was compared to general population data. RESULTS: From initial 182 included patients, 55 were deceased at 10-year follow-up, 4 were deregistered from public record and 35 declined participations. A total of 88 patients participated through self-administrated questionnaires. There were no significant differences in HOOS between gender and fracture type and the results were equivalent to general population data. The EQ-5D continued to improve compared to a 24-month follow-up (p = 0.006) but did not recover to pre-fracture level (p<0.001) though it was equivalent to general population data. Higher age, co-morbidity, osteoporosis and smoking were associated with increased mortality within 10 years after the fracture and the prevalence of co-morbidity and smoking was higher than the general population INTERPRETATION: Those patients who had survived 10 years after a FNF treated with CRIF had a HRQoL and hip function equivalent to age and sex matched general population of Sweden. However, a third of these relatively young patients had deceased 10 years after the hip fracture and they were more compromised than the general population",10.1016/j.injury.2020.06.029,1
1913,A Comparison of Patient-Centered Outcome Measures to Evaluate Dysphagia and Dysphonia After Anterior Cervical Discectomy and Fusion,Cervical Vertebrae/surgery; Deglutition Disorders/etiology; Diskectomy/adverse effects; Dysphonia/etiology; Humans; Patient Reported Outcome Measures; Postoperative Complications/etiology; Prospective Studies; Reproducibility of Results; Spinal Fusion/adverse effects,"OF BACKGROUND DATA: Dysphagia and dysphonia are the most common complications after anterior cervical diskectomy and fusion (ACDF). No consensus system exists currently in the spine literature for the classification of these conditions postoperatively. OBJECTIVE: The purpose of this analysis was to evaluate the validity and reliability of the Eating Assessment Tool (EAT-10) in the assessment of dysphagia when compared with the Bazaz score. A secondary goal was to assess the Voice Handicap Index (VHI-10) scores among patients following ACDF. METHODS: Patients treated with ACDF (one, two, or three level) for cervical radiculopathy and/or cervical myelopathy at two tertiary hospitals were administered patient-reported outcome metrics preoperatively as well as at multiple time points postoperatively. The metrics administered included the EAT-10, VHI-10, Bazaz, Neck Disbability Index, and EuroQol Five Dimensions questionnaire (EQ-5D)/visual analog scale. RESULTS: One hundred patients were included in this study. Eighty-nine percentage had a 1-year follow-up, and 100% had a 12-week follow-up. Mean Neck Disbability Index, EQ-5D, and EQ-visual analog scale scores all improved from baseline at both 6 months and 1 year postoperatively. Both the EAT-10 and VHI-10 demonstrated excellent internal reliability (α = 0.95 and α = 0.90, respectively). Analysis of variance of EAT-10 and VHI-10 scores by time point demonstrated a statistically significant relationship (P < 0.0001). The EAT-10 and VHI-10 scores were statistically greater on postoperative day 1 than at all other times (Tukey posthoc, P < 0.0001 and P < 0.004, respectively) Across all time points, 176 instances of clinically significant dysphagia (EAT-10 ≥ 3) were noted, 57 (32%) of which were classified as ""None"" on the Bazaz classification. CONCLUSIONS: The EAT-10 score is an accurate measure for mild to severe dysphagia and better captured significant dysphagia that would have otherwise been missed when the Bazaz score is used. EAT-10 and VHI-10 are better measures of postoperative dysphagia and dysphonia than the current metrics used in spine surgery. STUDY DESIGN: This was a prospective cohort study of consecutive patients",10.5435/JAAOS-D-17-00631,1
2010,Comparison of the EQ-5D-3L and the SF-6D (SF-12) contemporaneous utility scores in patients with cardiovascular disease,Adult; Aged; Cardiovascular Diseases/economics/epidemiology; Female; Humans; Male; Middle Aged; Quality of Life/psychology; Surveys and Questionnaires; Utilization Review/methods; EQ-5D; QALY; SF-6D; Utility,"PURPOSE: Multi-attribute utility instruments (MAUIs) are widely used to measure utility weights. This study sought to compare utility weights of two popular MAUIs, the EQ-5D-3L and the SF-6D, and inform researchers in the selection of generic MAUI for use with cardiovascular (CVD) patients. METHODS: Data were collected in the Young@Heart study, a randomised controlled trial of a nurse-led multidisciplinary home-based intervention compared to standard usual care Participants (n = 598) completed the EQ-5D-3L and the SF-12v2, from which the SF-6D can be constructed, at baseline and at 24-month follow-up. This study examined discrimination, responsiveness, correlation and differences across the two instruments. RESULTS: Both MAUIs were able to discriminate between the NYHA severity classes and recorded similar changes between the two time points although only SF-6D differences were significant. Correlations between the dimensions of the two MAUIs were low. There were significant differences between the two instruments in mild conditions but they were similar in severe conditions. Substantial ceiling and floor effects were observed. CONCLUSIONS: Our findings indicate that the EQ-5D and the SF-6D cover different spaces in health due to their classification systems. Both measures were capable of discriminating between severity groups and responsive to quality of life changes in the follow-up. It is recommended to use the EQ-5D-3L in severe and the SF-6D in mild CVD conditions",10.1007/s11136-017-1666-6,1
2296,Effects of preoperative obesity and psychiatric comorbidities on minimum clinically important differences for lumbar fusion in grade 1 degenerative spondylolisthesis: analysis from the prospective Quality Outcomes Database registry,BMI; ES = effect size; MCID; MCID = minimum clinically important difference; MDC = minimum detectable change; NASS = North American Spine Society; NRS = numeric rating scale; NRS-BP = NRS for back pain; NRS-LP = NRS for leg pain; ODI = Oswestry Disability Index; PD = psychiatric disease; PRO = patient-reported outcome; QOD; QOD = Quality Outcomes Database; Quality Outcomes Database; ROC = receiver operating characteristic; SCB = substantial clinical benefit; SEM = standard error of measurement; anxiety; degenerative; depression; fusion; lumbar spine; minimum clinically important difference; obesity; spondylolisthesis,"OBJECTIVE: Medical comorbidities, particularly preoperatively diagnosed anxiety, depression, and obesity, may influence how patients perceive and measure clinical benefit after a surgical intervention. The current study was performed to define and compare the minimum clinically important difference (MCID) thresholds in patients with and without preoperative diagnoses of anxiety or depression and obesity who underwent spinal fusion for grade 1 degenerative spondylolisthesis METHODS: The Quality Outcomes Database (QOD) was queried for patients who underwent lumbar fusion for grade 1 degenerative spondylolisthesis during the period from January 2014 to August 2017. Collected patient-reported outcomes (PROs) included the Oswestry Disability Index (ODI), health status (EQ-5D), and numeric rating scale (NRS) scores for back pain (NRS-BP) and leg pain (NRS-LP) Both anchor-based and distribution-based methods for MCID calculation were employed. RESULTS: Of 462 patients included in the prospective registry who underwent a decompression and fusion procedure, 356 patients (77.1%) had complete baseline and 12-month PRO data and were included in the study. The MCID values for ODI scores did not significantly differ in patients with and those without a preoperative diagnosis of obesity (20.58 and 20.69, respectively). In addition, the MCID values for ODI scores did not differ in patients with and without a preoperative diagnosis of anxiety or depression (24.72 and 22.56, respectively) Similarly, the threshold MCID values for NRS-BP, NRS-LP, and EQ-5D scores were not statistically different between all groups. Based on both anchor-based and distribution-based methods for determination of MCID thresholds, there were no statistically significant differences between all cohorts. CONCLUSIONS: MCID thresholds were similar for ODI, EQ-5D, NRS-BP, and NRS-LP in patients with and without preoperative diagnoses of anxiety or depression and obesity undergoing spinal fusion for grade 1 degenerative spondylolisthesis. Preoperative clinical and shared decision-making may be improved by understanding that preoperative medical comorbidities may not affect the way patients experience and assess important clinical changes postoperatively",10.3171/2020.4.SPINE20296,1
2328,The five-repetition sit-to-stand test: evaluation of a simple and objective tool for the assessment of degenerative pathologies of the lumbar spine,Adult; Aged; Back Pain/surgery; Female; Humans; Intervertebral Disc Degeneration/physiopathology/surgery; Lumbar Vertebrae/physiopathology/surgery; Lumbosacral Region/physiopathology; Male; Middle Aged; Pain Measurement/methods; Prospective Studies; Reproducibility of Results; Visual Analog Scale; 5R-STS = five-repetition sit-to-stand; DDD = degenerative disc disease; HRQOL = health-related quality of life; ICC = intraclass correlation coefficient; LDH = lumbar disc herniation; ODI = Oswestry Disability Index; OFI = objective functional impairment; PROM = patient-reported outcome measure; RMDQ = Roland-Morris Disability Questionnaire; TUG = timed up and go; ULN = upper limit of normal; VAS = visual analog scale; ZOI = zone of indifference; degenerative disc disease; functional impairment; lumbar disc herniation; lumbar stenosis; objective test; sit to stand,"OBJECTIVE: Recently, objective functional tests have generated interest since they can supplement an objective dimension to clinical assessment. The five-repetition sit-to-stand (5R-STS) test is a quick and objective tool that tests movements frequently used in everyday life. The aim of this prospective study was to evaluate the validity and reliability of the 5R-STS test in patients with degenerative pathologies of the lumbar spine. METHODS: Patients and healthy volunteers completed the standardized 5R-STS, Roland-Morris Disability Questionnaire (RMDQ), Oswestry Disability Index (ODI), visual analog scale (VAS) for back and leg pain, and EQ-5D for health-related quality of life (HRQOL). To assess convergent validity, the 5R-STS test times were correlated with these questionnaires. RESULTS: Overall, 157 patients and 80 volunteers were enrolled Direct correlation with RMDQ (r = 0.49), ODI (r = 0.44), and VAS for back pain (r = 0.31) and indirect correlation with the EQ-5D index (r = -0.41) were observed (p < 0.001). The 5R-STS test showed no correlation with VAS for leg pain and EQ-5D VAS (p > 0.05). In 119 individuals, the 5R-STS test demonstrated excellent test-retest reliability with an intraclass correlation coefficient of 0.98. The upper limit of normal, distinguishing patients with and without objective functional impairment, was identified as 10.35 seconds. A severity stratification classified patients with test times of 10.5-15.2, 15.3-22.0, or greater than 22.0 seconds as having mild, moderate, or severe functional impairment, respectively CONCLUSIONS: The 5R-STS test is a simple and effective tool to describe objective functional impairment. A patient able to perform the test in 10.4 seconds can be considered to have no relevant objective functional impairment. Clinical trial registration no.: NCT03303300 (clinicaltrials.gov)",10.3171/2018.2.SPINE171416,1
2506,Effect of patient education and physical training on quality of life and physical exercise capacity in patients with paroxysmal or persistent atrial fibrillation: A randomized study,Adult; Aged; Atrial Fibrillation/physiopathology/psychology/therapy; Exercise Therapy/methods; Exercise Tolerance/physiology; Female; Humans; Male; Middle Aged; Patient Education as Topic/methods; Quality of Life; Surveys and Questionnaires; Treatment Outcome; atrial fibrillation; education; physical exercise; quality of life; rehabilitation,"OBJECTIVE: To examine the effect of a rehabilitation programme on quality of life and physical capacity in patients with atrial fibrillation. METHODS: Patients with paroxysmal or persistent atrial fibrillation were randomized to either a 12-week rehabilitation programme with education and physical training (intervention group) or standard care (control group). At baseline, after 3, 6 and 12 months participants completed 5 different quality of life questionnaires (Quality of Life in patients with Atrial Fibrillation (AF-QoL-18), Atrial Fibrillation Effect on QualiTy of Life (AFEQT), Patient Health Questionnaire (PHQ-9), Generalised Anxiety Disorder Assessment (GAD-7) and EuroQol 5D (EQ-5D)), and physical exercise tests. Differences in mean] scores between groups were analysed by repeated measures analysis of variance (ANOVA). RESULTS: Fifty-eight patients (age range 43-78 years, 31% female) were included. In the intervention group the AF-QoL-18 score increased from baseline (48.4 (standard deviation (SD) 22.8)) to 6 months (68.0 (SD 15.2)) compared with the control group (baseline 51.6 (SD 22.3), 6 months 59.2 (SD 27.3)). After 12 months, there was no difference. Similar patterns were found for the other questionnaires. Maximum exercise capacity improved in the intervention group from baseline (176 W (SD 48)) to 6 months (190 W (SD 55)). There was no change in the control group CONCLUSION: Education and physical training may have a short-term (but no long-term) beneficial effect on quality of life and physical exercise capacity in patients with atrial fibrillation",10.2340/16501977-2551,0
2811,Daily longitudinal self-monitoring of mood variability in bipolar disorder and borderline personality disorder,Adolescent; Adult; Affect; Anger; Anxiety/psychology; Bipolar Disorder/psychology; Borderline Personality Disorder/psychology; Depression/psychology; Female; Humans; Irritable Mood; Male; Middle Aged; Quality of Life; Self Report; Self-Assessment; Surveys and Questionnaires; Young Adult; Bipolar disorder; Borderline personality disorder; Digital health; Mood assessment; Mood monitoring; Patient reported outcome measures,"BACKGROUND: Traditionally, assessment of psychiatric symptoms has been relying on their retrospective report to a trained interviewer. The emergence of smartphones facilitates passive sensor-based monitoring and active real-time monitoring through time-stamped prompts; however there are few validated self-report measures designed for this purpose. METHODS: We introduce a novel, compact questionnaire, Mood Zoom (MZ), embedded in a customised smart-phone application MZ asks participants to rate anxiety, elation, sadness, anger, irritability and energy on a 7-point Likert scale. For comparison, we used four standard clinical questionnaires administered to participants weekly to quantify mania (ASRM), depression (QIDS), anxiety (GAD-7), and quality of life (EQ-5D). We monitored 48 Bipolar Disorder (BD), 31 Borderline Personality Disorders (BPD) and 51 Healthy control (HC) participants to study longitudinal (median±iqr: 313±194 days) variation and differences of mood traits by exploring the data using diverse time-series tools. RESULTS: MZ correlated well (|R|>0.5,p<0.0001) with QIDS, GAD-7, and EQ-5D. We found statistically strong (|R|>0.3,p<0.0001) differences in variability in all questionnaires for the three cohorts. Compared to HC, BD and BPD participants exhibit different trends and variability, and on average had higher self-reported scores in mania, depression, and anxiety, and lower quality of life. In particular, analysis of MZ variability can differentiate BD and BPD which was not hitherto possible using the weekly questionnaires. LIMITATIONS: All reported scores rely on self-assessment; there is a lack of ongoing clinical assessment by experts to validate the findings. CONCLUSIONS: MZ could be used for efficient, long-term, effective daily monitoring of mood instability in clinical psychiatric practice",10.1016/j.jad.2016.06.065,0
2861,[Chondroprotector transdermal magnetophoresis for osteoarthritis of the knee],"Administration, Cutaneous; Antirheumatic Agents/administration & dosage/therapeutic use; Chondroitin Sulfates/administration & dosage/therapeutic use; Gels; Humans; Magnetic Field Therapy; Osteoarthritis, Knee/drug therapy/therapy; Quality of Life; Treatment Outcome; chondroprotectors; chondroxide; magnetophoresis; osteoarthritis of the knee joint; pulsed magnetotherapy; running magnetic field; symptom-modifying drugs of slow action; transdermal forms","RATIONALE: Treatment of osteoarthritis (OA) is a relevant problem of rheumatology. Despite a significant number of medical approaches and the creation of new drugs, the effectiveness of treatment remains unsatisfactory, which necessitates the creation of complex treatment programs. Pulse low-frequency magnetotherapy is a modern method that makes it possible to potentiate the therapeutic effects of chondroprotectors for transdermal administration using magnetophoresis technology. AIM: To evaluate the efficacy and tolerability of combination therapy using chondroprotective magnetophoresis using 'running' pulsed magnetic field (RPMF) and application of chondroxide (transdermal gel form) in patients with knee OA. MATERIAL AND METHODS: A randomized, placebo-controlled clinical trial included 65 patients with grade II - III knee OA according to the Kellgren-Lwrence classification. The 1st group included 25 patients who received local therapy - chondroxide magnetophoresis using RPMF (20 mT, frequency 6.25 Hz, exposure time 20 min, No. 12); in the 2nd group - 20 patients who underwent placebo-magnetotherapy of chondroxide; in the 3rd group - 20 patients who used RPMF without local chondroprotective therapy. We used VAS, WOMAC scales, EQ-5D questionnaire, OMERACT-OARSI criterion in order to analyze the results. RESULTS: A pronounced analgesic effect of the treatment was registered (according to the VAS and WOMAC scales) in patients receiving magnetotherapy (p<0.01). A significant improvement in functional parameters (according to WOMAC) was noted, more pronounced in patients who used chondroxide magnetophoresis (p<0.001). During the course of treatment, a positive effect of magnetotherapy on the indicators of quality of life (according to EQ-5D) was registered. A high percentage of response (68.1%) to therapy using magnetophoresis of the transdermal form of chondroxide (according to OMERACT-OARSI) was demonstrated. No adverse reactions were registered during treatment. CONCLUSION: The use of the local therapy method in the form of magnetophoresis of the transdermal form of the chondroxide is an effective and safe treatment technology that improves the functional state and quality of life of patients with OA of the knee joint",10.17116/kurort20209701142,0
3383,Self-efficacy and Emotional Distress in a Cohort With Patellofemoral Pain,knee; patellofemoral pain; psychological; self-efficacy; widespread pain,"BACKGROUND: Patellofemoral pain (PFP) is commonly described and approached in biomechanical terms despite strong evidence that psychosocial factors such as kinesiophobia, emotional distress, and self-efficacy are important in long-standing musculoskeletal pain. PURPOSE: To describe levels of self-efficacy, emotional distress, kinesiophobia, and widespread pain in a cohort with long-standing PFP and determine their association with measures of pain, function, and health-related quality of life. STUDY DESIGN: Cross-sectional study; Level of evidence, 3. METHODS: Included were 112 patients with PFP (age range, 16-40 years) who had been recruited to a randomized controlled trial Seven baseline factors (patient sex, pain duration, number of pain sites throughout the body, kinesiophobia [Tampa Scale of Kinesiophobia], emotional distress [Hopkins Symptom Checklist], self-efficacy, and knee extension strength) were investigated for associations with the following outcomes: symptoms of PFP (Anterior Knee Pain Scale), pain (worst and usual), and health-related quality of life (5-level EuroQol-5 Dimensions [EQ-5D-5L]). We used bivariate models and multivariable linear regression models with a stepwise backward removal method to find associations with the outcomes. Internal validation was conducted, and adjusted coefficients after shrinkage are presented. RESULTS: Of the study patients, 28% reported emotional distress (Hopkins Symptom Checklist ≥1.75), 69% reported multiple pain sites, and 33% had widespread pain. The kinesiophobia score was elevated, with a mean score of 35.4 ± 8.2. Self-efficacy was strongly associated with better function (Anterior Knee Pain Scale) and health-related quality of life (EQ-5D-5L) as well as lower pain scores in bivariate and multivariable models. Self-efficacy and emotional distress explained 50% of the variance in health-related quality of life (EQ-5D-5L). CONCLUSION: Our findings support other studies of PFP suggesting elevated levels of kinesiophobia and emotional distress and higher rates of widespread pain compared with the general population or pain-free controls. Higher self-efficacy was associated with better function and health-related quality of life. Together with emotional distress, it explained half the variance of health-related life quality. The results underline the importance of approaching these patients in a biopsychosocial model REGISTRATION: NCT02114294 (ClinicalTrials.gov identifier)",10.1177/23259671221079672,0
3929,Health related quality of life aspects not captured by EQ-5D-5L: Results from an international survey of patients,Adult; Chronic Disease/psychology; Drug-Related Side Effects and Adverse Reactions; Fatigue; Female; Health Status; Health Surveys; Humans; Internationality; Male; Middle Aged; Quality of Life; Cost utility analysis; EQ-5D-5L; Health technology assessment; Patient preferences; QALY; QoL utilities,"BACKGROUND: In this paper we discuss and present evidence on whether a generic Health Related Quality of Life (HRQoL) measurement tool, the EQ-5D-5L, captures the dimensions of quality of life (QoL) which patients consider significant METHODS: An online survey, of individuals with a chronic condition, mainly breast cancer (BC), blood cancers (BLC), rheumatoid arthritis (RA), asthma, and rare diseases (RD) was conducted to collect data on HRQoL and important QoL aspects that respondents thought were not captured by the EQ-5D-5L. Patient organisations across 47 countries were invited to voluntarily share the survey tool with their membership network. RESULTS: 767 responses from 38 countries showed that important QoL aspects were not captured by EQ-5D-5L for 51% of respondents, including fatigue (19%) and medication side effects (12%), among others. Fatigue (17%) was also the most commonly reported QoL aspect that changed over the course of patients' illness, suggesting that the current version of the EQ-5D-5L might miss capturing significant clinical changes in important QoL domains CONCLUSIONS: Utilisation of the EQ-5D-5L in HRQoL measurement raises inconsistencies in capturing QoL attributes and changes in disease-specific patient populations. Further research is needed to clarify the extent to which other generic HRQoL measurement tools capture the aspects of health that really matter for patients",10.1016/j.healthpol.2018.12.003,0
4098,Patient-reported outcomes of symptom burden in patients receiving surgical or nonsurgical treatment for low-intermediate risk oropharyngeal squamous cell carcinoma: A comparative analysis of a prospective registry,"Carcinoma, Squamous Cell/therapy; Female; Humans; Longitudinal Studies; Male; Middle Aged; Oropharyngeal Neoplasms/therapy; Patient Reported Outcome Measures; Prospective Studies; Registries; MDASI; Oropharyngeal cancer; Patient reported outcomes; Radiation; Transoral robotic surgery","PURPOSE: To explore treatment-related changes in symptom burden and quality of life (QOL) in oropharyngeal squamous cell cancer (OPSCC) patients treated surgically and non-surgically. PATIENTS AND METHODS: Eighty-six patients with human papillomavirus-associated OPSCC treated at the Head and Neck Center at The University of Texas MD Anderson Cancer Center were recruited to a prospective registry study between 2014 and 2016 and completed the core, head and neck-specific, and symptom interference sections of the MD Anderson symptom inventory (MDASI) multi-symptom questionnaire and the EQ-5D health status assessment as a measure of QOL at four time points. RESULTS: Longitudinal improvements from post-treatment nadir were observed across all groups. For patients treated with single modality, symptom interference, but not core and head and neck specific, MDASI scores were significantly better at 6 months in patients treated with surgery than radiation (P = 0.04). For patients treated with multiple modalities, scores for each of the three domains (i.e., core, head and neck -specific, and interference MDASI) were significantly better in the surgical group than the nonsurgical group at treatment completion (P = 0.0003, P = 0.0006 and P = 0.02) and 6 weeks (P = 0.001, P = 0.05 and P = 0.04), but not 6 months (P = 0.11, P = 0.16 and P = 0.040). No significant differences in EQ5D health status were observed between groups at any time point, reflecting similar overall QOL in all groups. CONCLUSION: Symptom burden and QOL improves after treatment in OPSCC survivors over time regardless of whether primary surgical or nonsurgical treatment is used, although acute symptom profiles may differ",10.1016/j.oraloncology.2019.01.020,1
4210,A Cost-Effectiveness Analysis of Comprehensive Smoking-Cessation Interventions Based on the Community and Hospital Collaboration,Cost-Benefit Analysis; Cross-Sectional Studies; Hospitals; Humans; Male; Smoking/epidemiology; Smoking Cessation/methods; community health centers; cost-effectiveness; online health promotion; pharmacological intervention; smoking cessation,"BACKGROUND: The prevalence of cigarette smoking in China is high and the utilization of smoking cessation clinics is very low. Multicomponent smoking cessation interventions involving community and hospital collaboration have the potential to increase the smoking cessation rate. However, the cost-effectiveness of this intervention model is unknown. METHODS: We conducted a smoking cessation intervention trial in 19 community health service centers in Beijing, China. A cost-effectiveness analysis was performed from a societal perspective to compare three strategies of smoking cessation: no intervention (NI), pharmacological intervention (PI), and comprehensive intervention (CI) (PI plus online health promotion). A Markov model, with a time horizon of 20 years, was used to simulate the natural progression of estimated 10,000 male smokers. A cross-sectional survey was conducted to obtain data on costs and quality-adjusted life years (QALYs) by using the five-level EuroQol-5-dimension (EQ-5D-5L) questionnaire Probabilistic sensitivity analysis was performed to explore parameters of uncertainty in the model. RESULTS: A total of 680 participants were included in this study, including 283 in the PI group and 397 in the CI group. After 6 months of follow-up, the smoking cessation rate reached 30.0% in the CI group and 21.2% in the PI group. Using the Markov model, compared with the NI group, the intervention strategies of the PI group and the CI group were found to be cost-effective, with an incremental cost-effectiveness ratio (ICER) of $535.62/QALY and $366.19/QALY, respectively. The probabilistic sensitivity analysis indicated that the CI strategy was always the most cost-effective intervention. CONCLUSION: CI for smoking cessation, based in hospital and community in China, is more cost-effective than PI alone. Therefore, this smoking cessation model should be considered to be implemented in healthcare settings",10.3389/fpubh.2022.853438,1
4353,[Evaluation of Reliability and Validity of EQ-5D-5L Based on Residents in Southwest China],Anxiety/diagnosis; China; Depression/diagnosis; Health Status; Humans; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires; EQ-5D-5L; Reliability; Validity,"OBJECTIVE: To explore the reliability and validity of the EQ-5D-5L scale in the population of southwest China. METHODS: The internal consistency reliability is measured by Cronbach's α coefficient and the structural validity is measured by factor analysis. The difference in health utility value of different characteristic populations is compared by t test and analysis of variance RESULTS: Cronbach's α coefficient was 0.857. Exploratory factor analysis extracts two common factors whose cumulative contribution rate is 77.311%. The first common factor represents mobility, self-care and uaual activities. The second common factor represents pain/discomfort and anxiety/depression. The results of confirmatory factor analysis showed that the correlation of the two common factors was 0.659, the average variance of the first common factor was 0.862 and the combination reliability was 0.949, and the average variance extracted of the second common factor was 0.587 and the composite reliability was 0.739. The factor loadings for mobility, self-care and uaual activities on the first common factor were 0.871, 0.945 and 0.967, respectively. The loadings for pain/discomfort and anxiety/depression on the second common factor were 0.708 and 0.820, respectively. CONCLUSION: EQ-5D-5L has good reliability and validity when it is applied to the measurement of healthy life quality of residents in Southwest China",10.12182/20200960504,0
